Name,Lon,Lat
Basankusu,19.81471896,1.230843032
Waka,20.21701788,1.017283964
Mompanga,20.50594092,0.933907918
Bususulu,20.70196992,0.740826069
Mompono,21.77135388,0.067966028
,21.69674604,0.081131026
Berori,22.36466952,0.11253927
Baringa,20.77877304,0.675734033
Isokolokoto,20.95066512,0.478996001
Djombo,20.36509704,1.326476972
Bongandanga,21.04756308,1.523164021
Mabunde,21.24618408,1.536339049
Kailanga,21.76203384,1.331181959
Likulu,21.96159588,1.250249077
Lifake,22.08302892,1.108144958
Bolafa,22.10656212,1.544808924
Lokolenge,22.71466296,1.197548061
Limune,22.77867312,1.084617078
Bosenge,22.29143616,1.498132937
Lilanga,21.771891,1.626387005
Bagata,23.067342,2.267428053
Aketi,23.76611496,2.728895956
Ibembo,23.61700008,2.632999931
Binga,20.511,2.39499994
Molanda,20.80699992,2.452999933
Likimi,20.772,2.826999996
Businga,20.90199996,3.337000074
Bokolo,20.76699996,3.225999945
Akula,20.19700008,2.385000011
N'Giri,17.96621616,0.436438915
Ibeka,18.35801316,1.212856944
Libanda,18.41186196,1.42903607
Malanga,18.57175596,1.737624933
Boburu,18.03660084,1.437471949
Imesse,18.10000008,2.117000057
Dongo,18.39999996,2.717000083
Ekuta,18.69559704,2.996867945
Libenge,18.62089416,3.650868038
Zongo,18.60000012,4.349999945
Matadi,13.47982812,-5.811977936
Boma,13.05481608,-5.85065898
Bukama,25.858305,-9.199964586
Yangambi,24.44464692,0.765637065
Pweto,28.88078508,-8.479219959
Kasenga,28.61980992,-10.40996993
Banana,12.40264008,-5.97624104
Djoku-Punda,20.91777192,-5.587455074
Mapangu,20.97941688,-5.443897959
Moliro,30.57312563,-8.261177105
Kilwa,28.328184,-9.251628003
Kiseny,30.44160108,1.389401439
Mahagi,31.2461226,2.149122571
Ipole,18.91101,-3.83567
Olympia,18.95879,-3.9074
Vum,18.92355,-3.82254
Mushange,29.05506111,-2.054597222
Mushange II,29.05485278,-2.055197222
Kamasha,29.05384722,-2.054558333
Musoko,29.08925556,-2.187138889
Shwishwi,29.10298333,-2.159022222
Karhanywa,29.095075,-2.168819444
Nkuvu,29.09693056,-2.208583333
Kashofu I,29.02856111,-2.224213889
Kashofu II,29.02734444,-2.2248
Boza,29.08097778,-2.242538889
Kaseke,29.05744167,-2.051013889
Mushangi,29.05503333,-2.054577778
Mushangi II,29.05393056,-2.054669444
Kirabo,29.05745278,-2.051036111
Chikoma,29.03930556,-2.097797222
Kihumba,29.09116667,-1.940955556
Nsulo,29.09809444,-1.941361111
Bwajingi,29.09849722,-1.944888889
Butonyi,29.10453611,-1.961472222
Kishenyabuhyo,29.08801111,-1.967194444
Katonda,29.05244167,-1.999325
Kagobe,29.04488056,-1.969513889
Nkora,29.05378056,-1.955602778
Mwiri,29.02259722,-2.142097222
Karhulo,29.02306389,-2.145197222
Kihara,29.01275556,-2.157447222
Muguza,29.09449722,-2.221930556
Kabwirwa,29.09043889,-2.180777778
De Bwina,29.05393889,-2.266577778
Kalundu,29.12911667,-3.432916667
Kivovo,29.1296,-3.4418
Port Makelele,29.02483611,-1.701786111
Port De Kalehe,28.91575278,-2.104908333
Moba,29.76608878,-7.030814053
Kikundi,18.73,-4.67728
Mosango,18.75483,-4.73182
Annicet,18.61348,-4.52793
Ntantu,18.6146,-4.52802
Kamtsha,19.23364,-4.47108
Mazinga,18.60389,-4.52965
Kipindi,18.72147,-4.65347
Songo,18.65234,-4.56031
Ulindi,27.34088822,-2.68342856
Ap Baze,29.09833056,-4.106488889
